School,SRC School ID,ULCS Code,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2018-19 Learning Network,2019-20 Learning Network,Notes,Overall Score,Overall Pts Earn,Overall Pts Poss,Overall Tier,Overall Peer Rank,Overall City Rank,Ach Score,Ach Pts Earn,Ach Pts Poss,Ach Tier,Ach Peer Rank,Ach City Rank,Prog Score,Prog Pts Earn,Prog Pts Poss,Prog Tier,Prog Peer Rank,Prog City Rank,Clim Score,Clim Pts Earn,Clim Pts Poss,Clim Tier,Clim Peer Rank,Clim City Rank,CC Score,CC Pts Earn,CC Pts Poss,CC Tier,CC Peer Rank,CC City Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone GR9 Alg1 Prof/Adv Score,Keystone GR9 Alg1 Prof/Adv Denom,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L33P) Score,Keystone Alg1 AGI (L33P) Pts Earn,Keystone Alg1 AGI (L33P) Pts Poss,Keystone Alg1 AGI (L33P) Pct Earn,Keystone Alg1 AGI (L33P) Tier,Keystone Bio AGI (L33P) Score,Keystone Bio AGI (L33P) Pts Earn,Keystone Bio AGI (L33P) Pts Poss,Keystone Bio AGI (L33P) Pct Earn,Keystone Bio AGI (L33P) Tier,Keystone Lit AGI (L33P) Score,Keystone Lit AGI (L33P) Pts Earn,Keystone Lit AGI (L33P) Pts Poss,Keystone Lit AGI (L33P) Pct Earn,Keystone Lit AGI (L33P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI/Dual Score,AP/IB/NOCTI/Dual Denom,AP/IB/NOCTI/Dual Pts Earn,AP/IB/NOCTI/Dual Pts Poss,AP/IB/NOCTI/Dual Pct Earn,AP/IB/NOCTI/Dual Tier,AP/IB/NOCTI/Dual (Participants) Score,AP/IB/NOCTI/Dual (Participants) Denom,AP/IB/NOCTI/Dual (Non-Participants) Score,AP/IB/NOCTI/Dual (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect MMS Dist Score,Teach Effect MMS Prof Score,Teacher Attendance Score,Student Survey Teaching Score
Lankenau High School,654,6540,HS,High School,201 Spring Lane,Philadelphia,PA,19128,215-400-3420,215-400-3421,District,N/A,354,philasd.org/lankenau,'9-12',Special Admit,HS-3,Network 4,Network 1,,63,56.58,90.50,REINFORCE,1st out of 24,10th out of 85,16,4.56,28.50,INTERVENE,3rd out of 21,22nd out of 72,87,27.90,32.00,MODEL,3rd out of 24,8th out of 85,89,17.80,20.00,MODEL,1st out of 24,6th out of 85,63,6.32,10.00,REINFORCE,2nd out of 23,16th out of 82,9,148,0.00,8.00,0,INTERVENE,8,93,0,148,0.00,1.50,0,INTERVENE,39,82,1.90,8.00,24,INTERVENE,9,82,0.51,1.50,34,WATCH,41,81,2.07,8.00,26,WATCH,1,81,0.07,1.50,5,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,0.58,3.42,6.50,53,REINFORCE,6.71,6.50,6.50,100,MODEL,3.84,6.50,6.50,100,MODEL,97,264,7.19,8.00,90,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.56,1.28,1.50,85,MODEL,3.09,1.50,1.50,100,MODEL,2.41,1.50,1.50,100,MODEL,64,357,6.97,8.00,87,MODEL,21,357,7,357,4,357,4,357,97,343,6.00,6.00,100,MODEL,100,357,0.50,0.50,100,MODEL,96,357,2.13,2.50,85,MODEL,56,0.56,1.00,56,REINFORCE,81,0.81,1.00,81,MODEL,43,0.83,1.00,83,MODEL,97,76,4.03,4.50,89,MODEL,67,73,1.15,1.50,77,MODEL,0,75,0.00,1.00,0,INTERVENE,55,75,45,75,3,75,0.00,1.00,0,INTERVENE,93,75,4,75,63,75,0.75,1.00,75,MODEL,39,0.39,1.00,39,WATCH,0,100,65,50
Frankford High School,701,7010,HS,High School,5000 Oxford Ave.,Philadelphia,PA,19124,215-400-7200,215-400-7201,District,N/A,913,philasd.org/frankfordhs,'9-12',Neighborhood,HS-1,Network 8,Network 4,,11,11.19,98.00,INTERVENE,18th out of 19,81st out of 85,0,0.05,30.00,INTERVENE,9th out of 14,65th out of 72,15,5.68,38.00,INTERVENE,17th out of 19,79th out of 85,25,5.03,20.00,WATCH,16th out of 19,78th out of 85,4,0.44,10.00,INTERVENE,19th out of 19,80th out of 82,5,263,0.00,8.00,0,INTERVENE,5,142,1,263,0.05,1.50,3,INTERVENE,4,151,0.00,8.00,0,INTERVENE,0,151,0.00,1.50,0,INTERVENE,16,131,0.00,8.00,0,INTERVENE,0,131,0.00,1.50,0,INTERVENE,2,134,0.00,1.50,0,INTERVENE,-4.03,0.00,6.50,0,INTERVENE,-2.17,0.00,6.50,0,INTERVENE,-1.04,0.00,6.50,0,INTERVENE,83,421,3.57,8.00,45,WATCH,25,119,0.00,6.00,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.03,1.02,1.50,68,REINFORCE,1.20,1.10,1.50,73,REINFORCE,-2.22,0.00,1.50,0,INTERVENE,21,1120,0.19,8.00,2,INTERVENE,21,1120,15,1120,9,1120,34,1120,79,803,2.22,6.00,37,WATCH,99,1120,0.45,0.50,89,MODEL,84,1120,1.15,2.50,46,WATCH,42,0.42,1.00,42,WATCH,60,0.60,1.00,60,REINFORCE,10,0.01,1.00,1,INTERVENE,57,263,0.00,4.50,0,INTERVENE,22,162,0.00,1.50,0,INTERVENE,0,148,0.00,1.00,0,INTERVENE,14,148,86,148,1,148,0.00,1.00,0,INTERVENE,68,148,32,148,33,148,0.16,1.00,16,INTERVENE,27,0.27,1.00,27,WATCH,0,98,58,45
Samuel Fels High School,712,7120,HS,High School,5500 Langdon St.,Philadelphia,PA,19124,215-400-7100,215-400-7101,District,N/A,953,www.philasd.org/fels,'9-12',Neighborhood,HS-4,Network 13,Network 13,,18,17.45,98.00,INTERVENE,7th out of 8,74th out of 85,0,0.10,30.00,INTERVENE,7th out of 8,60th out of 72,26,9.82,38.00,WATCH,6th out of 8,64th out of 85,32,6.33,20.00,WATCH,7th out of 8,74th out of 85,12,1.20,10.00,INTERVENE,6th out of 8,67th out of 82,7,353,0.00,8.00,0,INTERVENE,6,142,1,353,0.03,1.50,2,INTERVENE,9,234,0.00,8.00,0,INTERVENE,1,234,0.05,1.50,3,INTERVENE,20,213,0.02,8.00,0,INTERVENE,0,213,0.00,1.50,0,INTERVENE,5,206,0.00,1.50,0,INTERVENE,-1.46,0.00,6.50,0,INTERVENE,-0.51,1.06,6.50,16,INTERVENE,-0.07,2.02,6.50,31,WATCH,84,505,3.62,8.00,45,WATCH,41,68,0.14,6.00,2,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.97,1.49,1.50,99,MODEL,2.38,1.50,1.50,100,MODEL,-2.33,0.00,1.50,0,INTERVENE,27,1118,1.12,8.00,14,INTERVENE,24,1118,14,1118,8,1118,28,1118,81,838,3.47,6.00,58,REINFORCE,100,1118,0.50,0.50,100,MODEL,80,1118,0.86,2.50,34,WATCH,37,0.37,1.00,37,WATCH,0,0.00,1.00,0,INTERVENE,3,0.00,1.00,0,INTERVENE,70,226,0.00,4.50,0,INTERVENE,46,168,0.57,1.50,38,WATCH,1,179,0.00,1.00,0,INTERVENE,22,179,77,179,2,179,0.00,1.00,0,INTERVENE,78,179,21,179,47,179,0.44,1.00,44,WATCH,19,0.19,1.00,19,INTERVENE,0,93,53,34
Abraham Lincoln High School,801,8010,HS,High School,3201 Ryan Ave.,Philadelphia,PA,19136,215-400-3300,215-400-3301,District,N/A,1786,philasd.org/lincoln,'9-12',Neighborhood,HS-4,Network 8,Network 4,,26,25.12,98.00,WATCH,4th out of 8,58th out of 85,3,0.78,30.00,INTERVENE,5th out of 8,47th out of 72,31,11.89,38.00,WATCH,4th out of 8,50th out of 85,57,11.35,20.00,REINFORCE,4th out of 8,49th out of 85,11,1.09,10.00,INTERVENE,7th out of 8,69th out of 82,6,910,0.00,8.00,0,INTERVENE,4,400,1,910,0.05,1.50,4,INTERVENE,9,496,0.00,8.00,0,INTERVENE,1,496,0.04,1.50,2,INTERVENE,27,406,0.66,8.00,8,INTERVENE,0,406,0.03,1.50,2,INTERVENE,4,303,0.00,1.50,0,INTERVENE,-8.98,0.00,6.50,0,INTERVENE,-1.91,0.00,6.50,0,INTERVENE,0.77,3.84,6.50,59,REINFORCE,82,1035,3.23,8.00,40,WATCH,63,140,2.74,6.00,46,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.16,0.58,1.50,39,WATCH,3.39,1.50,1.50,100,MODEL,-2.01,0.00,1.50,0,INTERVENE,37,2038,2.79,8.00,35,WATCH,24,2038,14,2038,7,2038,18,2038,84,1560,5.46,6.00,91,MODEL,100,2038,0.50,0.50,100,MODEL,88,2038,1.51,2.50,61,REINFORCE,40,0.40,1.00,40,WATCH,60,0.60,1.00,60,REINFORCE,13,0.08,1.00,8,INTERVENE,65,402,0.00,4.50,0,INTERVENE,37,273,0.33,1.50,22,INTERVENE,13,283,0.08,1.00,8,INTERVENE,27,283,60,283,5,283,0.00,1.00,0,INTERVENE,67,283,28,283,47,283,0.45,1.00,45,WATCH,24,0.24,1.00,24,INTERVENE,2,93,61,39
Northeast High School,802,8020,HS,High School,1601 Cottman Ave.,Philadelphia,PA,19111,215-400-3200,215-400-3201,District,N/A,3466,philasd.org/nehs,'9-12',Neighborhood,HS-4,Network 8,Network 1,,32,31.83,98.00,WATCH,3rd out of 8,51st out of 85,16,4.85,30.00,INTERVENE,2nd out of 8,21st out of 72,33,12.43,38.00,WATCH,3rd out of 8,47th out of 85,58,11.59,20.00,REINFORCE,3rd out of 8,47th out of 85,30,2.96,10.00,WATCH,1st out of 8,48th out of 82,17,826,0.00,8.00,0,INTERVENE,16,670,5,826,0.31,1.50,21,INTERVENE,31,689,1.08,8.00,13,INTERVENE,11,689,0.64,1.50,42,WATCH,45,691,2.50,8.00,31,WATCH,4,691,0.23,1.50,16,INTERVENE,6,734,0.09,1.50,6,INTERVENE,-8.69,0.00,6.50,0,INTERVENE,-2.52,0.00,6.50,0,INTERVENE,3.61,6.50,6.50,100,MODEL,81,2113,2.81,8.00,35,WATCH,58,390,2.12,6.00,35,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.85,0.00,1.50,0,INTERVENE,0.64,0.82,1.50,55,REINFORCE,-0.65,0.18,1.50,12,INTERVENE,42,3698,3.45,8.00,43,WATCH,25,3698,12,3698,6,3698,14,3698,90,3236,6.00,6.00,100,MODEL,100,3698,0.50,0.50,100,MODEL,90,3698,1.64,2.50,66,REINFORCE,0,0.00,1.00,0,INTERVENE,0,0.00,1.00,0,INTERVENE,2,0.00,1.00,0,INTERVENE,76,768,0.23,4.50,5,INTERVENE,61,620,0.97,1.50,65,REINFORCE,32,646,0.54,1.00,54,REINFORCE,23,646,46,646,25,646,0.37,1.00,37,WATCH,55,646,20,646,67,646,0.84,1.00,84,MODEL,0,0.00,1.00,0,INTERVENE,5,92,60,0
George Washington High School,803,8030,HS,High School,10175 Bustleton Ave.,Philadelphia,PA,19116,215-400-3100,215-400-3101,District,N/A,1355,philasd.org/gwhs,'9-12',Neighborhood,HS-4,Network 8,Network 4,,23,22.44,98.00,INTERVENE,6th out of 8,61st out of 85,8,2.31,30.00,INTERVENE,3rd out of 8,35th out of 72,19,7.28,38.00,INTERVENE,7th out of 8,71st out of 85,55,10.96,20.00,REINFORCE,6th out of 8,54th out of 85,19,1.89,10.00,INTERVENE,3rd out of 8,58th out of 82,13,621,0.00,8.00,0,INTERVENE,14,305,4,621,0.21,1.50,14,INTERVENE,11,429,0.00,8.00,0,INTERVENE,2,429,0.14,1.50,9,INTERVENE,30,334,0.96,8.00,12,INTERVENE,1,334,0.07,1.50,5,INTERVENE,11,260,0.92,1.50,62,REINFORCE,-8.17,0.00,6.50,0,INTERVENE,-10.04,0.00,6.50,0,INTERVENE,-0.15,1.84,6.50,28,WATCH,85,727,3.89,8.00,49,WATCH,49,140,1.11,6.00,19,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.76,0.00,1.50,0,INTERVENE,-0.13,0.44,1.50,29,WATCH,-1.02,0.00,1.50,0,INTERVENE,36,1530,2.58,8.00,32,WATCH,27,1530,14,1530,7,1530,17,1530,88,1225,6.00,6.00,100,MODEL,99,1530,0.46,0.50,93,MODEL,88,1530,1.51,2.50,61,REINFORCE,40,0.40,1.00,40,WATCH,0,0.00,1.00,0,INTERVENE,8,0.00,1.00,0,INTERVENE,71,371,0.00,4.50,0,INTERVENE,50,280,0.67,1.50,45,WATCH,27,293,0.42,1.00,42,WATCH,13,293,60,293,12,293,0.06,1.00,6,INTERVENE,68,293,20,293,52,293,0.53,1.00,53,REINFORCE,20,0.20,1.00,20,INTERVENE,1,97,71,37
Arts Academy at Benjamin Rush,804,8040,HS,High School,11081 Knights Rd.,Philadelphia,PA,19154,215-400-3030,215-400-3031,District,N/A,621,philasd.org/rush,'9-12',Special Admit,HS-6,Network 1,Network 1,,56,50.60,90.50,REINFORCE,8th out of 10,19th out of 85,49,14.03,28.50,WATCH,7th out of 10,10th out of 72,32,10.25,32.00,WATCH,8th out of 10,48th out of 85,92,18.46,20.00,MODEL,1st out of 10,2nd out of 85,79,7.86,10.00,MODEL,5th out of 10,7th out of 82,46,130,2.62,8.00,33,WATCH,47,126,18,130,1.06,1.50,71,REINFORCE,64,157,4.37,8.00,55,REINFORCE,15,157,0.88,1.50,59,REINFORCE,67,157,4.69,8.00,59,REINFORCE,7,157,0.42,1.50,28,WATCH,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,0.09,2.36,6.50,36,WATCH,-3.11,0.00,6.50,0,INTERVENE,-1.52,0.00,6.50,0,INTERVENE,100,463,7.89,8.00,99,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.07,0.00,1.50,0,INTERVENE,-1.71,0.00,1.50,0,INTERVENE,-1.43,0.00,1.50,0,INTERVENE,68,621,7.67,8.00,96,MODEL,25,621,4,621,1,621,1,621,99,598,6.00,6.00,100,MODEL,100,621,0.50,0.50,100,MODEL,99,621,2.41,2.50,96,MODEL,56,0.56,1.00,56,REINFORCE,88,0.88,1.00,88,MODEL,28,0.44,1.00,44,WATCH,99,143,4.25,4.50,94,MODEL,78,141,1.45,1.50,96,MODEL,16,141,0.16,1.00,16,INTERVENE,34,141,50,141,40,141,0.74,1.00,74,REINFORCE,57,141,3,141,89,141,1.00,1.00,100,MODEL,26,0.26,1.00,26,WATCH,20,80,87,51
Swenson Arts and Technology High School,809,8090,HS,High School,2750 Red Lion Rd.,Philadelphia,PA,19114,215-400-3140,215-400-3141,District,N/A,649,philasd.org/swenson,'9-12',Citywide,HS-5,Network 4,Network 4,,34,31.30,92.00,WATCH,12th out of 14,45th out of 85,9,2.61,30.00,INTERVENE,10th out of 14,32nd out of 72,26,8.37,32.00,WATCH,13th out of 14,63rd out of 85,72,14.44,20.00,REINFORCE,6th out of 14,23rd out of 85,59,5.89,10.00,REINFORCE,10th out of 14,21st out of 82,16,129,0.00,8.00,0,INTERVENE,16,129,2,129,0.14,1.50,9,INTERVENE,19,142,0.00,8.00,0,INTERVENE,3,142,0.17,1.50,11,INTERVENE,42,144,2.24,8.00,28,WATCH,0,144,0.00,1.50,0,INTERVENE,5,37,0.06,1.50,4,INTERVENE,-5.89,0.00,6.50,0,INTERVENE,-5.64,0.00,6.50,0,INTERVENE,-0.72,0.61,6.50,9,INTERVENE,98,416,7.55,8.00,94,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.00,0.00,1.50,0,INTERVENE,-0.58,0.21,1.50,14,INTERVENE,-1.16,0.00,1.50,0,INTERVENE,45,654,4.07,8.00,51,REINFORCE,31,654,11,654,5,654,7,654,95,619,6.00,6.00,100,MODEL,100,654,0.50,0.50,100,MODEL,95,654,2.11,2.50,84,MODEL,46,0.46,1.00,46,WATCH,67,0.67,1.00,67,REINFORCE,36,0.64,1.00,64,REINFORCE,95,169,3.65,4.50,81,MODEL,40,162,0.41,1.50,27,WATCH,67,162,1.00,1.00,100,MODEL,26,162,7,162,9,162,0.00,1.00,0,INTERVENE,85,162,6,162,54,162,0.59,1.00,59,REINFORCE,24,0.24,1.00,24,INTERVENE,7,91,69,42
The Workshop School,856,8560,HS,High School,221 S. Hanson St.,Philadelphia,PA,19139,215-400-7730,215-400-7731,District,N/A,256,philasd.org/workshopschool,'9-12',Citywide,HS-3,Innovation,Innovation,,34,25.05,73.00,WATCH,14th out of 24,44th out of 85,0,0.00,19.00,INTERVENE,21st out of 21,72nd out of 72,41,9.78,24.00,WATCH,14th out of 24,43rd out of 85,58,11.58,20.00,REINFORCE,15th out of 24,48th out of 85,37,3.69,10.00,WATCH,10th out of 23,41st out of 82,1,95,0.00,8.00,0,INTERVENE,Insufficient Sample,Insufficient Sample,0,95,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,9,90,0.00,8.00,0,INTERVENE,0,90,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,0.07,2.32,6.50,36,WATCH,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-0.60,0.87,6.50,13,INTERVENE,88,172,4.90,8.00,61,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2.14,1.50,1.50,100,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-0.60,0.20,1.50,13,INTERVENE,40,258,3.12,8.00,39,WATCH,26,258,15,258,8,258,12,258,91,243,6.00,6.00,100,MODEL,99,258,0.44,0.50,88,MODEL,94,258,2.02,2.50,81,MODEL,0,0.00,1.00,0,INTERVENE,0,0.00,1.00,0,INTERVENE,7,0.00,1.00,0,INTERVENE,86,66,2.04,4.50,45,WATCH,44,57,0.51,1.50,34,WATCH,34,62,0.60,1.00,60,REINFORCE,2,62,65,62,3,62,0.00,1.00,0,INTERVENE,85,62,11,62,52,62,0.53,1.00,53,REINFORCE,0,0.00,1.00,0,INTERVENE,36,64,67,0
Community Academy of Philadelphia Charter School,W01,3301,HS,High School,1100 E. Erie Ave.,Philadelphia,PA,19124,215-533-6700,215-533-6722,Charter,N/A,611,www.communityacademy.org,'9-12',Citywide,HS-1,Charters,Charters,,50,49.27,98.00,REINFORCE,3rd out of 19,22nd out of 85,6,1.83,30.00,INTERVENE,4th out of 14,38th out of 72,75,28.42,38.00,MODEL,3rd out of 19,13th out of 85,72,14.41,20.00,REINFORCE,3rd out of 19,24th out of 85,46,4.62,10.00,WATCH,4th out of 19,34th out of 82,13,334,0.00,8.00,0,INTERVENE,12,138,2,334,0.14,1.50,10,INTERVENE,22,224,0.23,8.00,3,INTERVENE,5,224,0.29,1.50,20,INTERVENE,30,204,1.04,8.00,13,INTERVENE,2,204,0.12,1.50,8,INTERVENE,3,74,0.00,1.50,0,INTERVENE,1.39,5.18,6.50,80,MODEL,3.97,6.50,6.50,100,MODEL,0.65,3.58,6.50,55,REINFORCE,92,389,5.81,8.00,73,REINFORCE,76,38,4.36,6.00,73,REINFORCE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2.93,1.50,1.50,100,MODEL,3.63,1.50,1.50,100,MODEL,-3.83,0.00,1.50,0,INTERVENE,48,650,4.46,8.00,56,REINFORCE,27,650,12,650,6,650,8,650,94,566,6.00,6.00,100,MODEL,96,650,0.30,0.50,60,REINFORCE,94,650,2.00,2.50,80,MODEL,62,0.62,1.00,62,REINFORCE,88,0.88,1.00,88,MODEL,16,0.15,1.00,15,INTERVENE,90,148,2.67,4.50,59,REINFORCE,48,141,0.61,1.50,41,WATCH,14,139,0.09,1.00,9,INTERVENE,20,139,66,139,5,139,0.00,1.00,0,INTERVENE,57,139,38,139,66,139,0.82,1.00,82,MODEL,41,0.41,1.00,41,WATCH,Data Not Available,Data Not Available,Data Not Available,58
Imhotep Institute Charter High School,W09,3309,HS,High School,6201 N. 21st Street,Philadelphia,PA,19138,215-438-4140,215-438-4160,Charter,N/A,602,www.imhotephighschool.com,'9-12',Citywide,HS-3,Charters,Charters,,49,46.70,96.00,WATCH,6th out of 24,26th out of 85,2,0.67,28.50,INTERVENE,12th out of 21,50th out of 72,78,29.49,38.00,MODEL,5th out of 24,11th out of 85,64,12.41,19.50,REINFORCE,10th out of 24,36th out of 85,41,4.13,10.00,WATCH,7th out of 23,36th out of 82,11,142,0.00,8.00,0,INTERVENE,Insufficient Sample,Insufficient Sample,1,142,0.08,1.50,6,INTERVENE,14,140,0.00,8.00,0,INTERVENE,1,140,0.09,1.50,6,INTERVENE,25,132,0.50,8.00,6,INTERVENE,0,132,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,4.40,6.50,6.50,100,MODEL,2.16,6.50,6.50,100,MODEL,6.03,6.50,6.50,100,MODEL,59,336,0.00,8.00,0,INTERVENE,86,56,5.49,6.00,91,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,4.12,1.50,1.50,100,MODEL,4.33,1.50,1.50,100,MODEL,2.82,1.50,1.50,100,MODEL,43,649,3.68,8.00,46,WATCH,28,649,13,649,5,649,11,649,95,510,6.00,6.00,100,MODEL,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,82,649,1.04,2.50,41,WATCH,60,0.60,1.00,60,REINFORCE,91,0.91,1.00,91,MODEL,17,0.18,1.00,18,INTERVENE,89,132,2.59,4.50,58,REINFORCE,46,126,0.57,1.50,38,WATCH,2,131,0.00,1.00,0,INTERVENE,11,131,86,131,5,131,0.00,1.00,0,INTERVENE,67,131,28,131,54,131,0.58,1.00,58,REINFORCE,38,0.38,1.00,38,WATCH,Data Not Available,Data Not Available,Data Not Available,50
