School,SRC School ID,ULCS Code,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2017-18 Learning Network,2018-19 Learning Network,Overall Score,Overall Pts Earn,Overall Pts Poss,Overall Tier,Overall Peer Rank,Overall City Rank,Ach Score,Ach Pts Earn,Ach Pts Poss,Ach Tier,Ach Peer Rank,Ach City Rank,Prog Score,Prog Pts Earn,Prog Pts Poss,Prog Tier,Prog Peer Rank,Prog City Rank,Clim Score,Clim Pts Earn,Clim Pts Poss,Clim Tier,Clim Peer Rank,Clim City Rank,CC Score,CC Pts Earn,CC Pts Poss,CC Tier,CC Peer Rank,CC City Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone GR9 Alg1 Prof/Adv Score,Keystone GR9 Alg1 Prof/Adv Denom,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L33P) Score,Keystone Alg1 AGI (L33P) Pts Earn,Keystone Alg1 AGI (L33P) Pts Poss,Keystone Alg1 AGI (L33P) Pct Earn,Keystone Alg1 AGI (L33P) Tier,Keystone Bio AGI (L33P) Score,Keystone Bio AGI (L33P) Pts Earn,Keystone Bio AGI (L33P) Pts Poss,Keystone Bio AGI (L33P) Pct Earn,Keystone Bio AGI (L33P) Tier,Keystone Lit AGI (L33P) Score,Keystone Lit AGI (L33P) Pts Earn,Keystone Lit AGI (L33P) Pts Poss,Keystone Lit AGI (L33P) Pct Earn,Keystone Lit AGI (L33P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI Score,AP/IB/NOCTI Denom,AP/IB/NOCTI Pts Earn,AP/IB/NOCTI Pts Poss,AP/IB/NOCTI Pct Earn,AP/IB/NOCTI Tier,AP/IB/NOCTI (Participants) Score,AP/IB/NOCTI (Participants) Denom,AP/IB/NOCTI (Non-Participants) Score,AP/IB/NOCTI (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect Distinguished Score,Teach Effect Instruction Score,Teacher Attendance Score,Student Survey Teaching Score
Samuel Fels High School,712,7120,HS,High School,5500 Langdon St.,Philadelphia,PA,19124,215-400-7100,215-400-7101,District,N/A,962,www.philasd.org/fels,'9-12',Neighborhood,HS-1,Network 7,Network 13,18,17.28,98,INTERVENE,9th out of 23,67th out of 83,1,0.18,30,INTERVENE,9th out of 19,60th out of 77,21,7.88,38,INTERVENE,7th out of 23,61st out of 83,42,8.31,20,WATCH,7th out of 23,59th out of 83,9,0.91,10,INTERVENE,11th out of 22,70th out of 81,6,478,0,8,0,INTERVENE,7,188,0,478,0.03,1.5,2,INTERVENE,7,270,0,8,0,INTERVENE,1,270,0.07,1.5,4,INTERVENE,21,233,0.06,8,1,INTERVENE,0,233,0.03,1.5,2,INTERVENE,3,189,0,1.5,0,INTERVENE,-5.98,0,6.5,0,INTERVENE,-3.16,0,6.5,0,INTERVENE,-2.65,0,6.5,0,INTERVENE,90,480,5.33,8,67,REINFORCE,47,66,0.84,6,14,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.57,0.22,1.5,14,INTERVENE,2.24,1.5,1.5,100,MODEL,-1.81,0,1.5,0,INTERVENE,32,1153,1.95,8,24,INTERVENE,24,1153,13,1153,7,1153,24,1153,80,874,3.13,6,52,REINFORCE,100,1153,0.5,0.5,100,MODEL,88,1153,1.51,2.5,60,REINFORCE,50,0.5,1,50,REINFORCE,72,0.72,1,72,REINFORCE,10,0,1,0,INTERVENE,69,255,0,4.5,0,INTERVENE,38,192,0.34,1.5,23,INTERVENE,2,186,0,1,0,INTERVENE,23,186,76,186,2,186,0,1,0,INTERVENE,71,186,27,186,38,186,0.25,1,25,WATCH,31,0.31,1,31,WATCH,Data Not Available,Data Not Available,63,41
Abraham Lincoln High School,801,8010,HS,High School,3201 Ryan Ave.,Philadelphia,PA,19136,215-400-3300,215-400-3301,District,N/A,1657,philasd.org/lincoln,'9-12',Neighborhood,HS-2,Network 9,Network 8,15,14.87,98,INTERVENE,16th out of 17,68th out of 83,1,0.44,30,INTERVENE,12th out of 17,55th out of 77,19,7.06,38,INTERVENE,15th out of 17,65th out of 83,32,6.32,20,WATCH,15th out of 17,67th out of 83,10,1.05,10,INTERVENE,16th out of 16,69th out of 81,4,855,0,8,0,INTERVENE,3,388,1,855,0.04,1.5,3,INTERVENE,9,460,0,8,0,INTERVENE,1,460,0.04,1.5,3,INTERVENE,23,382,0.3,8,4,INTERVENE,0,382,0,1.5,0,INTERVENE,5,280,0.05,1.5,4,INTERVENE,-13.27,0,6.5,0,INTERVENE,-7.31,0,6.5,0,INTERVENE,-5.06,0,6.5,0,INTERVENE,83,877,3.5,8,44,WATCH,61,127,2.48,6,41,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.35,0,1.5,0,INTERVENE,1.18,1.09,1.5,73,REINFORCE,-2.68,0,1.5,0,INTERVENE,33,1899,2.16,8,27,WATCH,23,1899,15,1899,8,1899,21,1899,80,1521,2.73,6,46,WATCH,100,1899,0.5,0.5,100,MODEL,81,1899,0.93,2.5,37,WATCH,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,3,0,1,0,INTERVENE,73,370,0,4.5,0,INTERVENE,40,279,0.41,1.5,28,WATCH,8,293,0,1,0,INTERVENE,29,293,63,293,3,293,0,1,0,INTERVENE,70,293,27,293,57,293,0.63,1,63,REINFORCE,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,65,0
Northeast High School,802,8020,HS,High School,1601 Cottman Ave.,Philadelphia,PA,19111,215-400-3200,215-400-3201,District,N/A,3363,philasd.org/nehs,'9-12',Neighborhood,HS-6,Network 8,Network 8,34,33.31,98,WATCH,6th out of 10,43rd out of 83,19,5.61,30,INTERVENE,4th out of 10,22nd out of 77,34,12.81,38,WATCH,6th out of 10,42nd out of 83,56,11.17,20,REINFORCE,7th out of 10,49th out of 83,37,3.72,10,WATCH,7th out of 10,44th out of 81,23,1156,0.28,8,4,INTERVENE,25,616,4,1156,0.25,1.5,17,INTERVENE,29,858,0.94,8,12,INTERVENE,8,858,0.47,1.5,31,WATCH,44,777,2.4,8,30,WATCH,3,777,0.2,1.5,13,INTERVENE,12,605,1.06,1.5,71,REINFORCE,-0.41,1.28,6.5,20,INTERVENE,-5.79,0,6.5,0,INTERVENE,1.25,4.88,6.5,75,MODEL,84,1938,3.78,8,47,WATCH,58,335,2.15,6,36,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.16,0.58,1.5,39,WATCH,-0.69,0.16,1.5,10,INTERVENE,-1.58,0,1.5,0,INTERVENE,40,3608,3.16,8,40,WATCH,27,3608,13,3608,7,3608,14,3608,88,3271,6,6,100,MODEL,96,3608,0.29,0.5,59,REINFORCE,91,3608,1.72,2.5,69,REINFORCE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,3,0,1,0,INTERVENE,82,849,1.26,4.5,28,WATCH,59,709,0.93,1.5,62,REINFORCE,23,713,0.31,1,31,WATCH,26,713,51,713,21,713,0.27,1,27,WATCH,61,713,19,713,73,713,0.95,1,95,MODEL,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,59,0
George Washington High School,803,8030,HS,High School,10175 Bustleton Ave.,Philadelphia,PA,19116,215-400-3100,215-400-3101,District,N/A,1277,philasd.org/gwhs,'9-12',Neighborhood,HS-6,Network 8,Network 8,22,21.82,98,INTERVENE,10th out of 10,61st out of 83,8,2.26,30,INTERVENE,9th out of 10,38th out of 77,12,4.73,38,INTERVENE,10th out of 10,74th out of 83,64,12.8,20,REINFORCE,5th out of 10,38th out of 83,20,2.03,10,INTERVENE,9th out of 10,59th out of 81,12,372,0,8,0,INTERVENE,9,204,2,372,0.15,1.5,10,INTERVENE,16,243,0,8,0,INTERVENE,1,243,0.05,1.5,3,INTERVENE,31,176,1.13,8,14,INTERVENE,2,176,0.1,1.5,7,INTERVENE,11,151,0.84,1.5,56,REINFORCE,-9.29,0,6.5,0,INTERVENE,-9.4,0,6.5,0,INTERVENE,-1.68,0,6.5,0,INTERVENE,83,661,3.44,8,43,WATCH,50,141,1.24,6,21,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-3.81,0,1.5,0,INTERVENE,-2.99,0,1.5,0,INTERVENE,-0.9,0.05,1.5,3,INTERVENE,44,1447,3.87,8,48,WATCH,23,1447,13,1447,6,1447,14,1447,86,1197,6,6,100,MODEL,99,1447,0.47,0.5,93,MODEL,86,1447,1.31,2.5,52,REINFORCE,46,0.46,1,46,WATCH,60,0.6,1,60,REINFORCE,14,0.09,1,9,INTERVENE,74,340,0,4.5,0,INTERVENE,55,271,0.82,1.5,55,REINFORCE,16,274,0.14,1,14,INTERVENE,24,274,60,274,15,274,0.13,1,13,INTERVENE,77,274,8,274,57,274,0.64,1,64,REINFORCE,30,0.3,1,30,WATCH,Data Not Available,Data Not Available,55,37
Arts Academy at Benjamin Rush,804,8040,HS,High School,11081 Knights Rd.,Philadelphia,PA,19154,215-400-3030,215-400-3031,District,N/A,631,philasd.org/rush,'9-12',Special Admit,HS-5,Autonomy,Network 1,52,46.79,90.5,REINFORCE,7th out of 9,19th out of 83,46,12.99,28.5,WATCH,7th out of 9,11th out of 77,27,8.65,32,WATCH,8th out of 9,49th out of 83,86,17.18,20,MODEL,6th out of 9,11th out of 83,80,7.98,10,MODEL,5th out of 9,6th out of 81,42,203,2.24,8,28,WATCH,49,145,9,203,0.56,1.5,37,WATCH,52,224,3.22,8,40,WATCH,16,224,0.94,1.5,63,REINFORCE,77,146,5.74,8,72,REINFORCE,5,146,0.29,1.5,19,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-2.13,0,6.5,0,INTERVENE,-2.61,0,6.5,0,INTERVENE,-1.05,0,6.5,0,INTERVENE,100,454,8,8,100,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.08,0,1.5,0,INTERVENE,-1.59,0,1.5,0,INTERVENE,0.3,0.65,1.5,43,WATCH,68,633,7.67,8,96,MODEL,24,633,5,633,2,633,2,633,97,618,6,6,100,MODEL,100,633,0.5,0.5,100,MODEL,98,633,2.37,2.5,95,MODEL,64,0.64,1,64,REINFORCE,0,0,1,0,INTERVENE,9,0,1,0,INTERVENE,99,147,4.38,4.5,97,MODEL,80,147,1.49,1.5,99,MODEL,4,148,0,1,0,INTERVENE,28,148,68,148,42,148,0.8,1,80,MODEL,57,148,1,148,87,148,1,1,100,MODEL,32,0.32,1,32,WATCH,Data Not Available,Data Not Available,81,52
Swenson Arts and Technology High School,809,8090,HS,High School,2750 Red Lion Rd.,Philadelphia,PA,19114,215-400-3140,215-400-3141,District,N/A,648,philasd.org/swenson,'9-12',Citywide,HS-6,Autonomy,Network 4,31,30.61,98,WATCH,8th out of 10,46th out of 83,12,3.67,30,INTERVENE,6th out of 10,28th out of 77,21,7.9,38,INTERVENE,9th out of 10,60th out of 83,73,14.67,20,REINFORCE,3rd out of 10,26th out of 83,44,4.37,10,WATCH,4th out of 10,35th out of 81,24,220,0.36,8,5,INTERVENE,26,149,3,220,0.16,1.5,11,INTERVENE,17,138,0,8,0,INTERVENE,4,138,0.22,1.5,14,INTERVENE,40,141,1.97,8,25,WATCH,1,141,0.09,1.5,6,INTERVENE,11,37,0.87,1.5,58,REINFORCE,-1.72,0,6.5,0,INTERVENE,-9.87,0,6.5,0,INTERVENE,-4.48,0,6.5,0,INTERVENE,99,452,7.7,8,96,MODEL,42,36,0.2,6,3,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-3.13,0,1.5,0,INTERVENE,-2.08,0,1.5,0,INTERVENE,-2.74,0,1.5,0,INTERVENE,47,656,4.39,8,55,REINFORCE,33,656,10,656,4,656,5,656,93,637,6,6,100,MODEL,100,656,0.5,0.5,100,MODEL,93,656,1.9,2.5,76,MODEL,54,0.54,1,54,REINFORCE,73,0.73,1,73,REINFORCE,34,0.61,1,61,REINFORCE,87,131,2.16,4.5,48,WATCH,40,119,0.4,1.5,26,WATCH,61,118,1,1,100,MODEL,29,118,10,118,7,118,0,1,0,INTERVENE,85,118,8,118,48,118,0.47,1,47,WATCH,34,0.34,1,34,WATCH,Data Not Available,Data Not Available,80,40
The Workshop School,856,8560,HS,High School,221 S. Hanson St.,Philadelphia,PA,19139,215-400-7730,215-400-7731,District,N/A,242,philasd.org/workshopschool,'9-12',Citywide,HS-2,Innovation,Innovation,30,24.09,79.5,WATCH,9th out of 17,49th out of 83,0,0,19,INTERVENE,17th out of 17,77th out of 77,23,7.12,30.5,INTERVENE,12th out of 17,54th out of 83,65,12.99,20,REINFORCE,4th out of 17,34th out of 83,40,3.98,10,WATCH,8th out of 16,42nd out of 81,1,104,0,8,0,INTERVENE,0,54,0,104,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,16,51,0,8,0,INTERVENE,0,51,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-6.3,0,6.5,0,INTERVENE,-2.26,0,6.5,0,INTERVENE,-2.53,0,6.5,0,INTERVENE,97,178,7.1,8,89,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.97,0.02,1.5,1,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-1.07,0,1.5,0,INTERVENE,43,245,3.72,8,47,WATCH,28,245,13,245,5,245,10,245,97,236,6,6,100,MODEL,100,245,0.5,0.5,100,MODEL,96,245,2.16,2.5,86,MODEL,61,0.61,1,61,REINFORCE,0,0,1,0,INTERVENE,5,0,1,0,INTERVENE,93,54,3.17,4.5,70,REINFORCE,26,50,0.03,1.5,2,INTERVENE,12,51,0.04,1,4,INTERVENE,6,51,82,51,4,51,0,1,0,INTERVENE,94,51,2,51,39,51,0.28,1,28,WATCH,46,0.46,1,46,WATCH,Data Not Available,Data Not Available,72,50
Community Academy of Philadelphia Charter School,W01,3301,HS,High School,1100 E. Erie Ave.,Philadelphia,PA,19124,215-533-6700,215-533-6722,Charter,N/A,608,www.communityacademy.org,'9-12',Citywide,HS-3,Charters,Charters,55,54.31,98,REINFORCE,3rd out of 15,15th out of 83,12,3.69,30,INTERVENE,4th out of 15,27th out of 77,84,32.11,38,MODEL,3rd out of 15,9th out of 83,69,13.75,20,REINFORCE,6th out of 15,28th out of 83,48,4.76,10,WATCH,6th out of 15,30th out of 81,15,351,0,8,0,INTERVENE,10,134,2,351,0.12,1.5,8,INTERVENE,31,248,1.11,8,14,INTERVENE,4,248,0.27,1.5,18,INTERVENE,40,220,1.96,8,24,INTERVENE,4,220,0.25,1.5,16,INTERVENE,5,63,0,1.5,0,INTERVENE,2.47,6.5,6.5,100,MODEL,4.9,6.5,6.5,100,MODEL,4.97,6.5,6.5,100,MODEL,93,381,6.11,8,76,MODEL,69,51,3.44,6,57,REINFORCE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.95,0.98,1.5,65,REINFORCE,2.45,1.5,1.5,100,MODEL,0.18,0.59,1.5,39,WATCH,44,665,3.85,8,48,WATCH,27,665,14,665,5,665,10,665,90,597,6,6,100,MODEL,93,665,0.15,0.5,31,WATCH,97,665,2.22,2.5,89,MODEL,64,0.64,1,64,REINFORCE,86,0.86,1,86,MODEL,11,0.02,1,2,INTERVENE,89,136,2.51,4.5,56,REINFORCE,53,133,0.77,1.5,52,REINFORCE,9,133,0,1,0,INTERVENE,25,133,66,133,12,133,0.05,1,5,INTERVENE,65,133,23,133,82,133,1,1,100,MODEL,42,0.42,1,42,WATCH,Data Not Available,Data Not Available,Data Not Available,50
Imhotep Institute Charter High School,W09,3309,HS,High School,6201 N. 21st Street,Philadelphia,PA,19138,215-438-4140,215-438-4160,Charter,N/A,569,www.imhotephighschool.com,'9-12',Citywide,HS-3,Charters,Charters,25,24.43,96.5,WATCH,13th out of 15,54th out of 83,0,0,28.5,INTERVENE,15th out of 15,77th out of 77,28,10.66,38,WATCH,11th out of 15,48th out of 83,52,10.32,20,REINFORCE,13th out of 15,53rd out of 83,34,3.44,10,WATCH,11th out of 15,47th out of 81,7,282,0,8,0,INTERVENE,Insufficient Sample,Insufficient Sample,0,282,0,1.5,0,INTERVENE,3,268,0,8,0,INTERVENE,0,268,0,1.5,0,INTERVENE,6,234,0,8,0,INTERVENE,0,234,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-2.87,0,6.5,0,INTERVENE,-6.93,0,6.5,0,INTERVENE,-5.19,0,6.5,0,INTERVENE,87,339,4.62,8,58,REINFORCE,68,40,3.3,6,55,REINFORCE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,3.6,1.5,1.5,100,MODEL,1.49,1.25,1.5,83,MODEL,-1.89,0,1.5,0,INTERVENE,35,641,2.42,8,30,WATCH,31,641,15,641,7,641,11,641,85,565,5.76,6,96,MODEL,100,641,0.5,0.5,100,MODEL,83,641,1.04,2.5,42,WATCH,60,0.6,1,60,REINFORCE,0,0,1,0,INTERVENE,7,0,1,0,INTERVENE,83,145,1.52,4.5,34,WATCH,54,126,0.79,1.5,53,REINFORCE,0,124,0,1,0,INTERVENE,16,124,84,124,6,124,0,1,0,INTERVENE,74,124,20,124,64,124,0.77,1,77,MODEL,36,0.36,1,36,WATCH,Data Not Available,Data Not Available,Data Not Available,37
Multicultural Academy Charter School,W12,3312,HS,High School,3821 N. Broad St.,Philadelphia,PA,19140,215-227-0513,215-227-0415,Charter,N/A,279,www.macs.k12.pa.us,'9-12',Citywide,HS-3,Charters,Charters,58,55.88,96.5,REINFORCE,2nd out of 15,14th out of 83,10,2.83,28.5,INTERVENE,6th out of 15,31st out of 77,82,31.32,38,MODEL,4th out of 15,11th out of 83,77,15.46,20,MODEL,4th out of 15,21st out of 83,63,6.27,10,REINFORCE,2nd out of 15,18th out of 81,21,171,0.11,8,1,INTERVENE,14,80,1,171,0.03,1.5,2,INTERVENE,25,110,0.55,8,7,INTERVENE,3,110,0.16,1.5,11,INTERVENE,39,137,1.94,8,24,INTERVENE,1,137,0.04,1.5,3,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,6.06,6.5,6.5,100,MODEL,2.51,6.5,6.5,100,MODEL,2.68,6.5,6.5,100,MODEL,83,168,3.4,8,42,WATCH,78,27,4.53,6,76,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,5.09,1.5,1.5,100,MODEL,2.11,1.5,1.5,100,MODEL,0.78,0.89,1.5,59,REINFORCE,50,279,4.77,8,60,REINFORCE,29,279,14,279,4,279,4,279,85,274,5.8,6,97,MODEL,100,279,0.5,0.5,100,MODEL,100,279,2.5,2.5,100,MODEL,58,0.58,1,58,REINFORCE,90,0.9,1,90,MODEL,26,0.41,1,41,WATCH,95,56,3.54,4.5,79,MODEL,65,55,1.1,1.5,74,REINFORCE,0,54,0,1,0,INTERVENE,4,54,96,54,17,54,0.17,1,17,INTERVENE,81,54,2,54,83,54,1,1,100,MODEL,46,0.46,1,46,WATCH,Data Not Available,Data Not Available,Data Not Available,59
"Preparatory Charter School of Mathematics, Science, Technology and Careers",W13,3313,HS,High School,1928 Point Breeze Ave.,Philadelphia,PA,19145,215-334-6144,215-334-6147,Charter,N/A,611,prepchs.org,'9-12',Citywide,HS-6,Charters,Charters,35,34.13,96.5,WATCH,5th out of 10,40th out of 83,10,2.89,28.5,INTERVENE,7th out of 10,30th out of 77,45,17.13,38,WATCH,4th out of 10,34th out of 83,49,9.78,20,WATCH,10th out of 10,56th out of 83,43,4.33,10,WATCH,6th out of 10,38th out of 81,12,293,0,8,0,INTERVENE,12,170,1,293,0.08,1.5,5,INTERVENE,8,266,0,8,0,INTERVENE,0,266,0.02,1.5,2,INTERVENE,47,220,2.73,8,34,WATCH,1,220,0.05,1.5,4,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-5.84,0,6.5,0,INTERVENE,-6.35,0,6.5,0,INTERVENE,1.65,5.74,6.5,88,MODEL,94,432,6.39,8,80,MODEL,73,26,3.97,6,66,REINFORCE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.16,0,1.5,0,INTERVENE,-0.46,0.27,1.5,18,INTERVENE,0.5,0.75,1.5,50,REINFORCE,35,620,2.4,8,30,WATCH,37,620,15,620,7,620,6,620,93,594,6,6,100,MODEL,63,620,0,0.5,0,INTERVENE,87,620,1.38,2.5,55,REINFORCE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,88,128,2.25,4.5,50,REINFORCE,64,118,1.07,1.5,72,REINFORCE,3,118,0,1,0,INTERVENE,0,118,97,118,10,118,0,1,0,INTERVENE,80,118,10,118,76,118,1,1,100,MODEL,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
Architecture and Design Charter School,W17,3317,HS,High School,105 S. 7th St.,Philadelphia,PA,19106,215-351-2900,215-351-9458,Charter,N/A,609,www.chadphila.org,'9-12',Citywide,HS-3,Charters,Charters,21,20.26,96.5,INTERVENE,15th out of 15,64th out of 83,0,0.08,28.5,INTERVENE,12th out of 15,64th out of 77,22,8.49,38,INTERVENE,13th out of 15,57th out of 83,37,7.36,20,WATCH,15th out of 15,65th out of 83,43,4.33,10,WATCH,8th out of 15,36th out of 81,3,160,0,8,0,INTERVENE,5,39,1,160,0.08,1.5,5,INTERVENE,8,170,0,8,0,INTERVENE,0,170,0,1.5,0,INTERVENE,12,160,0,8,0,INTERVENE,0,160,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-8.38,0,6.5,0,INTERVENE,-8.45,0,6.5,0,INTERVENE,-11.91,0,6.5,0,INTERVENE,86,362,4.17,8,52,REINFORCE,76,50,4.32,6,72,REINFORCE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.28,0,1.5,0,INTERVENE,-2.02,0,1.5,0,INTERVENE,-5.85,0,1.5,0,INTERVENE,26,644,0.9,8,11,INTERVENE,27,644,18,644,10,644,19,644,84,598,5.67,6,95,MODEL,100,644,0.5,0.5,100,MODEL,73,644,0.29,2.5,12,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,90,119,2.69,4.5,60,REINFORCE,51,113,0.72,1.5,48,WATCH,0,116,0,1,0,INTERVENE,0,116,100,116,3,116,0,1,0,INTERVENE,62,116,35,116,72,116,0.93,1,93,MODEL,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
